0,Jean M Imbs,"Research Areas:\nMacroeconomics, International Finance and Macroeconomics, International Trade",social-science
1,Shaalan Farouk,"",science
2,Saurabh Ray,"Research Areas:\nAlgorithms, Computational Geometry, Artificial Intelligence, Machine Learning",science
3,Mark Swislocki,Research Websites:\nGlobal Asia Initiative\nGeopolitics and Ecology of Himalayan Water\nResearch Areas:\nHistory of China; Environmental History; Food Studies; Critical Animal Studies; Global History,arts-and-humanities
4,Jill Magi,"Research Areas:\npoetry and poetics, experimental literature, handmade books, alternatives to mainstream publishing, textile arts",arts-and-humanities
5,Theodore Waters,Research Areas:\nAttachment and Autobiographical Memory,science
6,Panče Naumov,Research Websites:\nNYUAD Center for Smart Engineering Materials (CSEM)\nSmart Materials Lab (SML)\nResearch Areas:\nMaterials Science,science
7,Khulood Kittaneh,"",arts-and-humanities
8,Reindert Falkenburg,"Research Areas:\nvisual arts, tensions and crises in late medieval and Renaissance art",arts-and-humanities
9,Ömer Faruk Örsün,Research Areas:\nInternational Security; Machine Learning,social-science
10,Monica Menendez,"Research Websites:\nCenter for the Interacting Urban Networks (CITIES)\nResearch Areas:\nmonitoring, modeling, and control of multimodal transportation systems, considering new technologies and data sources",engineering
11,Andras Gyorgy,Research Websites:\nNetBio Group\nResearch Areas:\nnetworked dynamical systems,engineering
12,Youssef Idaghdour,"Research Websites:\nIdaghdour Lab — Environmental Genomics\nResearch Areas:\nPopulation and Medical Genomics, Gene-environment Interactions",science
13,Olivier Bochet,Research Websites:\nSocial Science Experimental Laboratory (SSEL)\nCenter for Behavioral Institutional Design (C-BID)\nResearch Areas:\nIncentives; Efficiency; Equity,social-science
14,Serdal Kirmizialtin,"Research Websites:\nKirmizialtin Lab\nResearch Areas:\nPhysical Chemistry, Computational Science, Soft Matter, Enzyme Actions",science
15,Abhishek Majumdar,"Research Areas:\nPolitical philosophy, dramaturgy, performance making , experimental film, opera, playwriting, direction, climate change,  study of religion, philosophy of science, caste politics, South Asian classics",arts-and-humanities
16,Mohammad Qasaimeh,"Research Websites:\nAdvanced Microfluidics and Microdevices Laboratory (AMMLab)\nResearch Areas:\nmicrofluidic and MEMS devices for biomedical applications, point of care diagnostics",engineering
17,Azzam Mourad,"Research Areas:\nCyber Security, Federated Machine Learning, Intelligent Service/Network/Computation Optimization and Management in Emerging Technologies including Internet of Things, Cloud/Fog/Edge Computing, and Vehicular and Mobile Systems and Networks.",science
18,PJ Henry,Research Areas:\nGender Roles; Masculinity/Femininity; Sexuality; Social Justice,science
19,Amos Ezra Katz,"Research Areas:\nCinematography, education and film, documentary, screenwriting",arts-and-humanities
20,Khaled Shahin,"Research Areas:\ncomputational structural mechanics, fatigue and fracture mechanics of adhesively bonded joints, mechanics of fiber reinforced polymer composites, risk and reliability-based structural design methods",engineering
21,Arman Mimar,"Research Areas:\nArithmetical Dynamics, Arithmetic Geometry, Number Theory",science
22,Sabino Kornrich,Research Areas:\nFamily; Inequality; Gender,social-science
23,Dipesh Chaudhury,"Research Websites:\nLaboratory of Neural Systems and Behavior\nResearch Areas:\nNeural Circuits, Mood Disorders, Memory Loss",science
24,Morgan Hardy,Research Websites:\nResearch Group in Network Science\nResearch Areas:\nDevelopment economics; Firms; Labor markets; Social networks,social-science
25,Daniel Johnson,"Research Websites:\nWater Research Center\nResearch Areas:\nWater treatment, wastewater treatment, membrane technology, atomic force microscopy, colloid and interface science",engineering
26,Muhammet Ali Bas,Research Areas:\nInternational relations; Formal modeling; Political methodology,social-science
27,Borja García de Soto,"Research Websites:\nS.M.A.R.T. Construction Research Group\nResearch Areas:\nconstruction automation, cybersecurity in the AEC industry, artificial intelligence, lean construction, BIM",engineering
28,Jonathan Shannon,Research Areas:\nArab world; Mediterranean; Music; Arts; Aesthetics; Migration; Food,arts-and-humanities
29,Leonid Peisakhin,Research Areas:\nComparative politics; Political economy; Political identities; Historical legacies; Post-conflict reconciliation; Eastern Europe,social-science
30,Camilla Quental,Research Areas:\nGender; Inequalities; Inclusion; Sustainability; Society,social-science
31,Vijayavenkataraman Sanjairaj,"Research Websites:\nThe Vijay Lab\nResearch Areas:\n3D Printing and bioprinting for tissue engineering, regenerative medicine, drug testing, and medical devices",engineering
32,Murat Uysal,Research Areas:\nCommunication theory; Wireless communications; Optical communications,engineering
33,Jing Chai,"Research Websites:\nI Got One - Shared Strategies for Memorizing Chinese Characters - 汉字奇思妙想\nResearch Areas:\nChinese language pedagogy, language assessments, internet and technology-based language learning, community-engaged language learning, Chinese characters, intercultural communications",arts-and-humanities
34,Christian Haefke,Research Websites:\nFamily Business Histories\nResearch Areas:\nLabor markets; Applied econometrics,social-science
35,Ilya Spitkovsky,"Research Websites:\nOperator Theory\nResearch Areas:\nAnalysis, Operator and Matrix Theory",science
36,John Burt,Research Websites:\nMarine Biology Lab\nMubadala Arabian Center for Climate and Environmental Sciences\nCenter for Genomics and Systems Biology\nCenter for Interacting Urban Networks\nWater Research Center\nResearch Areas:\nMarine Biology,science
37,Nimrah Syed,"Research Areas:\nAlternative futures, discursive and speculative design, design research, collective imagination, participatory and co-creation",arts-and-humanities
38,Mohamed Moustafa,Research Areas:\nUltra-high performance concrete (UHPC); accelerated bridge construction (ABC); vision-based structural health monitoring; multi-scale experimental structural testing; hybrid simulation; performance-based design and engineering; Future-GRID Technology Hub,engineering
39,Barthélémy Bonadio,Research Areas:\nInternational Economics,social-science
40,Anthony Tzes,"Research Areas:\nUnmanned aerial vehicles, surgical robots, mechatronics, control engineering",engineering
41,Wifag Adnan,Research Areas:\nLabor markets; Job search; Employment; Wage differentials; Female labor force; Education,social-science
42,Veda Binod Narasimhan,Research Areas:\nRural development; Political Economy & Institutions; Migration & Urbanisation,social-science
43,Philip Kennedy,"",arts-and-humanities
44,Shamoon Zamir,"Research Websites:\nAkkasah: Center for Photography\nArab Center for the Study of Art\nResearch Areas:\nliterature, photography, intellectual history",arts-and-humanities
